 station,date,salinity,temperature
DO,2005-3-2,32.80,18.99
DH,2005-8-5,29.92,17.24
DH,2005-8-22,30.62,17.32
DH,2005-8-19,31.77,17.66
OS30,2005-6-9,29.30,18.45
DO,2005-11-28,32.95,17.26
NW2,2005-5-19,30.72,15.61
DO,2005-11-5,33.27,17.15
NW1,2005-7-28,32.51,16.97
DO,2005-1-7,28.53,15.30
NW2,2005-2-4,33.74,16.13
NW2,2005-7-7,31.09,16.06
NW1,2005-12-5,31.16,17.29
NW1,2005-1-16,31.96,17.95
NW1,2005-3-23,29.34,19.14
OS30,2005-6-23,29.08,19.96
NW1,2005-11-26,29.19,17.68
DH,2005-7-28,30.65,16.70
DO,2005-4-16,33.38,15.77
NW1,2005-4-18,32.87,15.34
NW2,2005-11-12,29.90,15.18
DO,2005-3-11,31.90,17.88
DH,2005-5-16,33.85,16.07
OS30,2005-6-26,33.01,18.05
DO,2005-6-20,28.22,19.93
OS30,2005-1-12,30.36,17.62
OS30,2005-3-26,32.90,17.11
NW2,2005-11-21,29.66,15.60
NW2,2005-11-6,29.86,17.58
DH,2005-5-19,31.35,17.10
OS30,2005-10-27,30.49,15.76
DO,2005-11-8,29.55,16.80
NW1,2005-6-28,31.75,15.10
DH,2005-11-15,30.48,19.83
NW1,2005-12-10,29.93,16.17
NW2,2005-5-13,32.47,16.10
DO,2005-5-4,31.53,18.71
NW2,2005-5-7,31.50,15.36
DH,2005-7-17,33.63,17.62
OS30,2005-10-16,29.89,18.28
NW1,2005-7-27,31.94,19.40
DH,2005-8-19,29.39,17.28
OS30,2005-2-3,28.17,15.04
DO,2005-10-5,31.40,19.74
OS30,2005-9-22,29.06,17.99
DH,2005-2-10,29.87,18.51
DH,2005-2-6,28.62,19.23
NW2,2005-2-21,32.65,18.08
OS30,2005-9-15,33.42,19.75
DO,2005-5-9,28.25,15.80
DO,2005-3-19,28.77,19.53
DH,2005-11-6,32.88,17.09
DH,2005-10-2,29.20,18.61
DH,2005-12-1,30.60,16.94
DO,2005-11-21,29.71,17.95
DH,2005-4-11,28.50,18.20
DO,2005-1-2,28.26,18.22
NW2,2005-5-24,33.46,16.87
OS30,2005-12-13,29.16,18.68
DH,2005-8-8,29.19,18.86
DH,2005-4-15,31.55,18.05
OS30,2005-8-2,31.45,15.30
DH,2005-5-19,29.19,16.62
DO,2005-2-9,30.79,19.17
OS30,2005-10-25,28.63,19.39
NW1,2005-10-19,30.90,17.68
NW2,2005-2-18,31.80,19.28
DH,2005-12-5,30.36,18.72
DO,2005-11-9,29.27,16.98
NW2,2005-5-18,30.12,15.05
NW1,2005-3-12,29.97,15.88
OS30,2005-12-9,29.09,17.36
DH,2005-5-20,31.43,15.48
DO,2005-5-20,32.90,17.56
