Processing the file:  /home/mab001/sitestore1/listing_test.dat
Reference file supplied:  /home/mab001/sitestore1/listing_test2.dat
Main file used first for constructing label list
 
LABEL                           minTime  maxTime meanTime   minCount   maxCount  meanCount
=====                           =======  ======= ========   ========   ========  =========
MAIN                             868.34   869.65   868.85          1          1          1
PREMIN                           132.61   132.75   132.71          2          2          2
MIN                              601.95   601.97   601.95          1          1          1
gsv_writeToFile                    0.01    35.47     4.89          7         10          7
gsv_readFromFile                  10.58    41.20    15.21          1          4          1
INN_SETUPBACKGROUNDCOLUMNS        46.59    46.88    46.69          2          2          2
BEN_SETUP                         56.60    56.62    56.61          1          1          1
PRE_SUENS_COMM                    24.42    47.98    31.52          7          7          7
BHI_SETUP                         10.70    11.52    11.10          1          1          1
ADDINCREMENT                      59.37    59.78    59.43          1          1          1
ALLTOALL_2D_MtoLAT                43.22    56.97    49.93      13782      13782      13782
GST_LT                            14.02    20.94    17.46      13782      13782      13782
GST_FFT                           24.80    26.04    25.52      13782      13782      13782
ALLTOALL_2D_LEVtoLON              33.23    64.44    35.31      13782      13782      13782
TRANSP_2D_MtoLAT                  45.58    59.46    52.34      13782      13782      13782
TRANSP_2D_LEVtoLON                34.42    65.70    36.55      13782      13782      13782
OBS_INTERP                        80.64    83.17    81.64         82         82         82
OBS_INTERPAD                      61.75    73.11    68.10         82         82         82
OBS_TL                             7.85    15.13    11.24         82         82         82
OBS_AD                            10.28    21.21    15.13         82         82         82
OBS_TOV_TLAD                      17.70    35.84    25.90        164        164        164
B_HI                              21.85    22.97    22.07         83         83         83
B_HI_T                            12.41    15.05    13.05         82         82         82
BHI_SPEREE                         7.71     8.79     7.98        165        165        165
BHI_SPGD_SPGDA                     8.77    11.20     9.32        165        165        165
B_ENS                            156.24   159.29   157.89         83         83         83
B_ENS_T                          169.62   171.16   170.49         82         82         82
ADDMEM                            60.99    64.04    62.62         82         82         82
ADDMEMAD                          63.96    65.98    65.28         82         82         82
LOC_SPECTRAL                     191.90   194.26   192.73      13120      13120      13120
ADDMEM_PREPAMP                    13.16    13.78    13.52      26568      26568      26568
ADDMEMAD_PREPAMP                  16.65    17.39    17.06   16737840   16737840   16737840
MIN_WRITEHESS_IO                   0.00    15.02     0.05         54         54         54
ADDMEM_INNER                      46.53    48.88    47.77      26568      26568      26568
ADDMEMAD_INNER                    37.33    38.95    38.22   16737840   16737840   16737840
MIN_SIMVAR                       560.68   562.31   562.08         82         82         82
SUMJO                              2.86    10.79     7.13         82         82         82
rttov_ad                           7.43    16.05    11.13        902       1476       1220
rttov_tl                           6.01    12.43     8.75        902       1476       1220
MIN_READHESS                      33.46    33.52    33.49          1          1          1
MIN_WRITEHESS                     60.01    61.40    60.37          1          1          1
MIN_READHESS_IO                   10.05    10.05    10.05         53         53         53
BARR_SPEREE_KIJ_END                0.45    10.63     9.66       6560       6560       6560
MPI_SUMSCA_BARR                    3.22    12.56     7.89       8125       8125       8125
GST_LEVTON_BARR                    1.12    15.86     8.36       6891       6891       6891
GST_LATTOM_BARR                    0.33    25.02    19.95       6560       6560       6560
MIN_READHESS_REDUCE               23.43    33.45    33.41         51         51         51
gsv_readTrials                    61.17    61.69    61.27          4          4          4
gsv_tilesToVarsLevs_r8            43.07    45.12    43.65         84         84         84
gsv_tilesToVarsLevsAD             39.73    39.86    39.78         82         82         82
gsv_stepToTiles                   11.08    61.27    59.46          4          4          4
S2C_BARR                           3.72    21.93    13.51        577        577        577
S2C_TL                            80.60    83.13    81.60         82         82         82
S2C_AD                            61.75    73.11    68.10         82         82         82
S2C_NL                            22.49    22.94    22.76          1          1          1
CopyFile                           1.40    11.60     5.51         15         21         16
INC_READTRIALS                    15.26    15.48    15.27          1          1          1
INC_COMPUTEANL                     9.46     9.88     9.57          1          1          1
INC_WRITEANLMREHM                 30.48    31.49    31.05          1          1          1
WRITETOFILE_ECR                   21.50    28.76    22.64        685       2953       1009
gsv_tilesToVarsLevs                0.00     0.00     0.00          0          0          0
gsv_stepToVarsLevs                 0.00     0.00     0.00          0          0          0
