Processing the file:  /home/mab001/sitestore1/listing_test2.dat
Reference file supplied:  /home/mab001/sitestore1/listing_test.dat
Reference file used first for constructing label list
 
LABEL                           minTime  maxTime meanTime   minCount   maxCount  meanCount
=====                           =======  ======= ========   ========   ========  =========
MAIN                             719.66   720.56   720.14          1          1          1
PREMIN                           117.05   117.14   117.11          2          2          2
MIN                              466.59   466.60   466.59          1          1          1
gsv_writeToFile                    0.01    36.27     5.23          7         10          7
gsv_readFromFile                  10.52    28.36    12.45          1          3          1
INN_SETUPBACKGROUNDCOLUMNS        28.27    28.50    28.37          2          2          2
BEN_SETUP                         59.94    59.96    59.95          1          1          1
PRE_SUENS_COMM                    28.91    50.57    34.83          7          7          7
BHI_SETUP                         11.17    12.00    11.60          1          1          1
ADDINCREMENT                      65.32    65.79    65.39          1          1          1
ALLTOALL_2D_MtoLAT                27.22    32.11    30.01      13614      13614      13614
GST_LT                            13.81    20.29    17.04      13614      13614      13614
GST_FFT                           24.61    25.98    25.37      13614      13614      13614
ALLTOALL_2D_LEVtoLON              31.78    35.64    33.72      13614      13614      13614
TRANSP_2D_MtoLAT                  29.43    34.76    32.43      13614      13614      13614
TRANSP_2D_LEVtoLON                33.04    36.84    34.94      13614      13614      13614
OBS_INTERP                        33.07    36.84    35.54         81         81         81
OBS_INTERPAD                      32.76    44.68    39.23         81         81         81
OBS_TL                             7.53    15.58    11.13         81         81         81
OBS_AD                            11.24    22.29    16.09         81         81         81
OBS_TOV_TLAD                      18.32    36.83    26.59        162        162        162
B_HI                              24.55    24.84    24.70         82         82         82
B_HI_T                            12.97    14.46    13.15         81         81         81
BHI_SPEREE                         9.90    10.45    10.18        163        163        163
BHI_SPGD_SPGDA                     8.30     9.97     8.48        163        163        163
B_ENS                            137.33   141.03   138.57         82         82         82
B_ENS_T                          136.43   137.34   137.11         81         81         81
ADDMEM                            60.83    64.06    62.02         81         81         81
ADDMEMAD                          63.41    65.11    64.30         81         81         81
LOC_SPECTRAL                     141.20   143.81   142.19      12960      12960      12960
ADDMEM_PREPAMP                    12.95    13.98    13.38      26244      26244      26244
ADDMEMAD_PREPAMP                  16.07    16.69    16.37   16533720   16533720   16533720
MIN_WRITEHESS_IO                   0.00    13.02     0.04         54         54         54
ADDMEM_INNER                      46.39    48.42    47.24      26244      26244      26244
ADDMEMAD_INNER                    37.30    38.81    37.99   16533720   16533720   16533720
MIN_SIMVAR                       428.42   428.85   428.56         81         81         81
SUMJO                              1.99    10.29     6.66         81         81         81
rttov_ad                           8.49    17.23    12.08        891       1458       1205
rttov_tl                           5.78    12.52     8.68        891       1458       1205
MIN_READHESS                      33.62    33.68    33.65          1          1          1
MIN_WRITEHESS                     55.68    57.20    56.08          1          1          1
MIN_READHESS_IO                   10.13    10.13    10.13         53         53         53
BARR_SPEREE_KIJ_END                2.03     4.47     3.04       6480       6480       6480
MPI_SUMSCA_BARR                    2.73    12.37     8.10       8079       8079       8079
GST_LEVTON_BARR                    4.07     7.96     5.65       6807       6807       6807
GST_LATTOM_BARR                    1.32     2.61     2.01       6480       6480       6480
MIN_READHESS_REDUCE               23.49    33.60    33.56         51         51         51
gsv_readTrials                    51.59    52.20    51.85          3          3          3
gsv_tilesToVarsLevs_r8             0.00     0.00     0.00          0          0          0
gsv_tilesToVarsLevsAD             21.44    21.83    21.62         81         81         81
gsv_stepToTiles                    7.87    29.15    28.69          2          2          2
S2C_BARR                           4.53    19.18    12.74        407        407        407
S2C_TL                            33.06    36.83    35.53         81         81         81
S2C_AD                            32.76    44.68    39.23         81         81         81
S2C_NL                             4.16     4.58     4.52          1          1          1
CopyFile                           1.73    10.07     5.29         15         20         16
INC_READTRIALS                    19.04    19.25    19.05          1          1          1
INC_COMPUTEANL                    11.04    11.46    11.16          1          1          1
INC_WRITEANLMREHM                 30.57    31.45    31.01          1          1          1
WRITETOFILE_ECR                   21.55    28.76    22.62        685       2953       1009
gsv_tilesToVarsLevs               13.38    21.56    16.95         83         83         83
gsv_stepToVarsLevs                 7.79    22.79    21.64          1          1          1
